troop1,troop2,troop3,troop4,troop5,troop6,->,trait1,trait2,trait3,trait4
bandit,elec_giant,gold_knight,monk,musketeer,witch,->,ace_2,assassin_2,noble_2,superstar_4
bandit,elec_giant,monk,musketeer,royal_ghost,witch,->,ace_2,assassin_2,superstar_4,undead_2
elec_giant,executioner,monk,musketeer,princess,witch,->,ace_2,blaster_2,noble_2,superstar_4
elec_giant,gold_knight,monk,musketeer,royal_ghost,witch,->,assassin_2,noble_2,superstar_4,undead_2
elec_giant,mega_knight,monk,musketeer,prince,witch,->,ace_2,brawler_2,noble_2,superstar_4
elec_giant,monk,musketeer,royal_giant,skele_drag,witch,->,giant_2,ranger_2,superstar_4,undead_2
archer_queen,barbarians,dart_goblin,gob_machine,valkyrie,wizard,->,brutalist_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,dart_goblin,spear_gobs,valkyrie,wizard,->,blaster_2,clan_4,goblin_2,ranger_2
archer_queen,barbarians,executioner,mega_knight,valkyrie,wizard,->,ace_2,blaster_2,brawler_2,clan_4
archer_queen,barbarians,gob_machine,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_4,goblin_2
archer_queen,barbarians,mini_pekka,pekka,valkyrie,wizard,->,brawler_2,brutalist_2,clan_4,pekka_2
archer_queen,barbarians,prince,princess,valkyrie,wizard,->,blaster_2,brawler_2,clan_4,noble_2
archer_queen,barbarians,skele_drag,skele_king,valkyrie,wizard,->,brutalist_2,clan_4,ranger_2,undead_2
archer_queen,dart_goblin,elec_giant,royal_giant,skele_drag,witch,->,giant_2,ranger_4,superstar_2,undead_2
archer_queen,dart_goblin,gob_machine,royal_giant,skele_drag,skele_king,->,brutalist_2,goblin_2,ranger_4,undead_2
archer_queen,dart_goblin,gob_machine,royal_giant,skele_drag,valkyrie,->,brutalist_2,clan_2,goblin_2,ranger_4
archer_queen,dart_goblin,goblins,royal_ghost,royal_giant,skele_drag,->,assassin_2,goblin_2,ranger_4,undead_2
archer_queen,dart_goblin,royal_giant,skele_drag,skele_king,valkyrie,->,brutalist_2,clan_2,ranger_4,undead_2
archer_queen,dart_goblin,royal_giant,skele_drag,spear_gobs,wizard,->,blaster_2,clan_2,goblin_2,ranger_4
archer_queen,dart_goblin,executioner,princess,spear_gobs,wizard,->,blaster_4,clan_2,goblin_2,ranger_2
bandit,executioner,goblins,princess,spear_gobs,wizard,->,ace_2,assassin_2,blaster_4,goblin_2
bandit,executioner,gold_knight,princess,spear_gobs,wizard,->,ace_2,assassin_2,blaster_4,noble_2
barbarians,executioner,mega_knight,princess,spear_gobs,wizard,->,ace_2,blaster_4,brawler_2,clan_2
barbarians,executioner,prince,princess,spear_gobs,wizard,->,blaster_4,brawler_2,clan_2,noble_2
executioner,gob_machine,princess,spear_gobs,valkyrie,wizard,->,blaster_4,brutalist_2,clan_2,goblin_2
executioner,goblins,gold_knight,princess,spear_gobs,wizard,->,assassin_2,blaster_4,goblin_2,noble_2
executioner,mega_knight,prince,princess,spear_gobs,wizard,->,ace_2,blaster_4,brawler_2,noble_2
executioner,monk,musketeer,princess,spear_gobs,wizard,->,ace_2,blaster_4,noble_2,superstar_2
bandit,executioner,gold_knight,musketeer,prince,princess,->,ace_2,assassin_2,blaster_2,noble_4
bandit,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,assassin_2,brawler_2,noble_4
bandit,gold_knight,monk,musketeer,prince,princess,->,ace_2,assassin_2,noble_4,superstar_2
barbarians,gold_knight,musketeer,prince,princess,wizard,->,blaster_2,brawler_2,clan_2,noble_4
executioner,gold_knight,mega_knight,musketeer,prince,princess,->,ace_2,blaster_2,brawler_2,noble_4
executioner,gold_knight,monk,musketeer,prince,princess,->,ace_2,blaster_2,noble_4,superstar_2
goblins,gold_knight,musketeer,prince,princess,spear_gobs,->,assassin_2,blaster_2,goblin_2,noble_4
gold_knight,mega_knight,monk,musketeer,prince,princess,->,ace_2,brawler_2,noble_4,superstar_2
gold_knight,musketeer,prince,princess,royal_ghost,witch,->,assassin_2,noble_4,superstar_2,undead_2
archer_queen,dart_goblin,gob_machine,mini_pekka,skele_king,valkyrie,->,brutalist_4,clan_2,goblin_2,ranger_2
archer_queen,gob_machine,mini_pekka,skele_drag,skele_king,valkyrie,->,brutalist_4,clan_2,ranger_2,undead_2
barbarians,gob_machine,mini_pekka,pekka,skele_king,valkyrie,->,brawler_2,brutalist_4,clan_2,pekka_2
dart_goblin,gob_machine,mini_pekka,skele_drag,skele_king,valkyrie,->,brutalist_4,goblin_2,ranger_2,undead_2
gob_machine,goblins,mini_pekka,royal_ghost,skele_king,valkyrie,->,assassin_2,brutalist_4,goblin_2,undead_2
gob_machine,mini_pekka,skele_king,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_4,clan_2,goblin_2
bandit,barbarians,gold_knight,mega_knight,pekka,prince,->,ace_2,assassin_2,brawler_4,noble_2
barbarians,executioner,mega_knight,pekka,prince,princess,->,ace_2,blaster_2,brawler_4,noble_2
barbarians,executioner,mega_knight,pekka,prince,wizard,->,ace_2,blaster_2,brawler_4,clan_2
barbarians,mega_knight,mini_pekka,pekka,prince,valkyrie,->,brawler_4,brutalist_2,clan_2,pekka_2
barbarians,mega_knight,monk,musketeer,pekka,prince,->,ace_2,brawler_4,noble_2,superstar_2
barbarians,mega_knight,pekka,prince,princess,wizard,->,blaster_2,brawler_4,clan_2,noble_2
archer_queen,dart_goblin,gob_machine,goblins,spear_gobs,valkyrie,->,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,spear_gobs,wizard,->,blaster_2,clan_2,goblin_4,ranger_2
bandit,dart_goblin,executioner,gob_machine,goblins,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_4
dart_goblin,gob_machine,goblins,gold_knight,princess,spear_gobs,->,assassin_2,blaster_2,goblin_4,noble_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_drag,spear_gobs,->,assassin_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,undead_2
dart_goblin,gob_machine,goblins,skele_drag,skele_king,spear_gobs,->,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4
bandit,dart_goblin,goblins,gold_knight,royal_ghost,skele_drag,->,assassin_4,goblin_2,ranger_2,undead_2
bandit,executioner,goblins,gold_knight,princess,royal_ghost,->,ace_2,assassin_4,blaster_2,noble_2
bandit,executioner,goblins,gold_knight,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2
bandit,gob_machine,goblins,gold_knight,royal_ghost,skele_king,->,assassin_4,brutalist_2,goblin_2,undead_2
bandit,goblins,gold_knight,mega_knight,prince,royal_ghost,->,ace_2,assassin_4,brawler_2,noble_2
bandit,goblins,gold_knight,monk,musketeer,royal_ghost,->,ace_2,assassin_4,noble_2,superstar_2
bandit,goblins,gold_knight,monk,royal_ghost,witch,->,ace_2,assassin_4,superstar_2,undead_2
bandit,goblins,gold_knight,musketeer,royal_ghost,witch,->,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,princess,royal_ghost,spear_gobs,->,assassin_4,blaster_2,goblin_2,noble_2
bandit,barbarians,executioner,mega_knight,monk,wizard,->,ace_4,blaster_2,brawler_2,clan_2
bandit,executioner,goblins,mega_knight,monk,spear_gobs,->,ace_4,assassin_2,blaster_2,goblin_2
bandit,executioner,gold_knight,mega_knight,monk,musketeer,->,ace_4,assassin_2,noble_2,superstar_2
bandit,executioner,gold_knight,mega_knight,monk,prince,->,ace_4,assassin_2,brawler_2,noble_2
bandit,executioner,gold_knight,mega_knight,monk,princess,->,ace_4,assassin_2,blaster_2,noble_2
bandit,executioner,mega_knight,monk,musketeer,prince,->,ace_4,brawler_2,noble_2,superstar_2
bandit,executioner,mega_knight,monk,musketeer,princess,->,ace_4,blaster_2,noble_2,superstar_2
bandit,executioner,mega_knight,monk,prince,princess,->,ace_4,blaster_2,brawler_2,noble_2
bandit,executioner,mega_knight,monk,royal_ghost,witch,->,ace_4,assassin_2,superstar_2,undead_2
archer_queen,royal_ghost,skele_drag,skele_king,valkyrie,witch,->,brutalist_2,clan_2,ranger_2,undead_4
bandit,monk,royal_ghost,skele_drag,skele_king,witch,->,ace_2,assassin_2,superstar_2,undead_4
