troop1,troop2,troop3,troop4,troop5,troop6,troop7,->,trait1,trait2,trait3,trait4,trait5,trait6
archer_queen,bandit,barbarians,dart_goblin,elec_giant,goblins,mega_knight,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,elec_giant,goblins,monk,->,ace_2,assassin_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,dart_goblin,executioner,goblins,pekka,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,goblins,prince,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,goblins,princess,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,gold_knight,prince,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,gold_knight,princess,->,ace_2,assassin_2,blaster_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,gold_knight,spear_gobs,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,pekka,spear_gobs,->,ace_2,blaster_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,prince,princess,->,ace_2,blaster_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,prince,spear_gobs,->,ace_2,blaster_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,executioner,royal_ghost,spear_gobs,->,ace_2,assassin_2,blaster_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,gold_knight,mega_knight,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,gold_knight,prince,->,assassin_2,brawler_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,mega_knight,mini_pekka,->,ace_2,brawler_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,mega_knight,royal_ghost,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,mega_knight,skele_king,->,ace_2,brawler_2,brutalist_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,mini_pekka,pekka,->,brawler_2,brutalist_2,clan_2,goblin_2,pekka_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gob_machine,royal_ghost,skele_king,->,assassin_2,brutalist_2,clan_2,goblin_2,ranger_2,undead_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mega_knight,mini_pekka,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mega_knight,musketeer,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mega_knight,princess,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mega_knight,skele_king,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mega_knight,witch,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,mini_pekka,pekka,->,assassin_2,brawler_2,clan_2,goblin_2,pekka_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,monk,musketeer,->,ace_2,assassin_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,dart_goblin,goblins,monk,pekka,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,monk,prince,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,monk,witch,->,ace_2,assassin_2,clan_2,goblin_2,ranger_2,superstar_2
archer_queen,bandit,barbarians,dart_goblin,goblins,musketeer,prince,->,assassin_2,brawler_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,goblins,prince,princess,->,assassin_2,brawler_2,clan_2,goblin_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,mega_knight,musketeer,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,mega_knight,princess,->,ace_2,assassin_2,brawler_2,clan_2,noble_2,ranger_2
archer_queen,bandit,barbarians,dart_goblin,gold_knight,mega_knight,spear_gobs,->,ace_2,assassin_2,brawler_2,clan_2,goblin_2,ranger_2
