troop1,troop2,troop3,troop4,troop5,troop6,troop7,->,trait1,trait2,trait3,trait4,trait5
archer_queen,bandit,dart_goblin,executioner,gob_machine,goblins,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_4,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,goblins,spear_gobs,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,bandit,dart_goblin,gob_machine,goblins,spear_gobs,wizard,->,assassin_2,blaster_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,executioner,gob_machine,goblins,spear_gobs,valkyrie,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,gold_knight,princess,spear_gobs,->,assassin_2,blaster_2,goblin_4,noble_2,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,gold_knight,spear_gobs,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,gold_knight,spear_gobs,wizard,->,assassin_2,blaster_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,mini_pekka,spear_gobs,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,princess,spear_gobs,valkyrie,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,royal_ghost,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
archer_queen,dart_goblin,gob_machine,goblins,royal_ghost,spear_gobs,valkyrie,->,assassin_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,royal_ghost,spear_gobs,wizard,->,assassin_2,blaster_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,skele_king,spear_gobs,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
archer_queen,dart_goblin,gob_machine,goblins,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
bandit,dart_goblin,executioner,gob_machine,goblins,mini_pekka,spear_gobs,->,ace_2,assassin_2,blaster_2,brutalist_2,goblin_4
bandit,dart_goblin,executioner,gob_machine,goblins,royal_giant,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_4,ranger_2
bandit,dart_goblin,executioner,gob_machine,goblins,skele_drag,spear_gobs,->,ace_2,assassin_2,blaster_2,goblin_4,ranger_2
bandit,dart_goblin,executioner,gob_machine,goblins,skele_king,spear_gobs,->,ace_2,assassin_2,blaster_2,brutalist_2,goblin_4
bandit,dart_goblin,executioner,gob_machine,goblins,spear_gobs,valkyrie,->,ace_2,assassin_2,blaster_2,brutalist_2,goblin_4
bandit,dart_goblin,gob_machine,goblins,skele_drag,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
bandit,dart_goblin,gob_machine,goblins,spear_gobs,valkyrie,wizard,->,assassin_2,blaster_2,brutalist_2,clan_2,goblin_4
dart_goblin,executioner,gob_machine,goblins,royal_ghost,skele_drag,spear_gobs,->,assassin_2,blaster_2,goblin_4,ranger_2,undead_2
dart_goblin,executioner,gob_machine,goblins,royal_ghost,skele_king,spear_gobs,->,assassin_2,blaster_2,brutalist_2,goblin_4,undead_2
dart_goblin,executioner,gob_machine,goblins,skele_drag,skele_king,spear_gobs,->,blaster_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,gold_knight,mini_pekka,princess,spear_gobs,->,assassin_2,blaster_2,brutalist_2,goblin_4,noble_2
dart_goblin,gob_machine,goblins,gold_knight,princess,royal_giant,spear_gobs,->,assassin_2,blaster_2,goblin_4,noble_2,ranger_2
dart_goblin,gob_machine,goblins,gold_knight,princess,skele_drag,spear_gobs,->,assassin_2,blaster_2,goblin_4,noble_2,ranger_2
dart_goblin,gob_machine,goblins,gold_knight,princess,skele_king,spear_gobs,->,assassin_2,blaster_2,brutalist_2,goblin_4,noble_2
dart_goblin,gob_machine,goblins,gold_knight,princess,spear_gobs,valkyrie,->,assassin_2,blaster_2,brutalist_2,goblin_4,noble_2
dart_goblin,gob_machine,goblins,gold_knight,skele_drag,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,gold_knight,spear_gobs,valkyrie,wizard,->,assassin_2,blaster_2,brutalist_2,clan_2,goblin_4
dart_goblin,gob_machine,goblins,mini_pekka,royal_ghost,skele_drag,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,princess,royal_ghost,skele_drag,spear_gobs,->,assassin_2,blaster_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,princess,royal_ghost,skele_king,spear_gobs,->,assassin_2,blaster_2,brutalist_2,goblin_4,undead_2
dart_goblin,gob_machine,goblins,princess,skele_drag,skele_king,spear_gobs,->,blaster_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,royal_giant,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_drag,skele_king,spear_gobs,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_drag,spear_gobs,valkyrie,->,assassin_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_drag,spear_gobs,wizard,->,assassin_2,blaster_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,skele_king,spear_gobs,wizard,->,assassin_2,blaster_2,brutalist_2,goblin_4,undead_2
dart_goblin,gob_machine,goblins,royal_ghost,spear_gobs,valkyrie,wizard,->,assassin_2,blaster_2,brutalist_2,clan_2,goblin_4
dart_goblin,gob_machine,goblins,royal_giant,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
dart_goblin,gob_machine,goblins,skele_drag,skele_king,spear_gobs,wizard,->,blaster_2,brutalist_2,goblin_4,ranger_2,undead_2
dart_goblin,gob_machine,goblins,skele_drag,spear_gobs,valkyrie,wizard,->,blaster_2,brutalist_2,clan_2,goblin_4,ranger_2
bandit,dart_goblin,executioner,goblins,gold_knight,princess,royal_ghost,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,dart_goblin,executioner,goblins,gold_knight,royal_ghost,skele_drag,->,ace_2,assassin_4,goblin_2,ranger_2,undead_2
bandit,dart_goblin,goblins,gold_knight,mega_knight,prince,royal_ghost,->,ace_2,assassin_4,brawler_2,goblin_2,noble_2
bandit,dart_goblin,goblins,gold_knight,mega_knight,royal_ghost,skele_drag,->,ace_2,assassin_4,goblin_2,ranger_2,undead_2
bandit,dart_goblin,goblins,gold_knight,monk,musketeer,royal_ghost,->,ace_2,assassin_4,goblin_2,noble_2,superstar_2
bandit,dart_goblin,goblins,gold_knight,monk,royal_ghost,skele_drag,->,ace_2,assassin_4,goblin_2,ranger_2,undead_2
bandit,dart_goblin,goblins,gold_knight,monk,royal_ghost,witch,->,ace_2,assassin_4,goblin_2,superstar_2,undead_2
bandit,dart_goblin,goblins,gold_knight,musketeer,royal_ghost,skele_drag,->,assassin_4,goblin_2,noble_2,ranger_2,undead_2
bandit,dart_goblin,goblins,gold_knight,musketeer,royal_ghost,witch,->,assassin_4,goblin_2,noble_2,superstar_2,undead_2
bandit,dart_goblin,goblins,gold_knight,prince,royal_ghost,skele_drag,->,assassin_4,goblin_2,noble_2,ranger_2,undead_2
bandit,dart_goblin,goblins,gold_knight,princess,royal_ghost,skele_drag,->,assassin_4,goblin_2,noble_2,ranger_2,undead_2
bandit,executioner,gob_machine,goblins,gold_knight,princess,royal_ghost,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,executioner,gob_machine,goblins,gold_knight,royal_ghost,skele_king,->,ace_2,assassin_4,brutalist_2,goblin_2,undead_2
bandit,executioner,goblins,gold_knight,musketeer,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,executioner,goblins,gold_knight,musketeer,royal_ghost,witch,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,executioner,goblins,gold_knight,prince,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,executioner,goblins,gold_knight,princess,royal_ghost,skele_drag,->,ace_2,assassin_4,blaster_2,noble_2,undead_2
bandit,executioner,goblins,gold_knight,princess,royal_ghost,skele_king,->,ace_2,assassin_4,blaster_2,noble_2,undead_2
bandit,executioner,goblins,gold_knight,princess,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,executioner,goblins,gold_knight,princess,royal_ghost,witch,->,ace_2,assassin_4,blaster_2,noble_2,undead_2
bandit,executioner,goblins,gold_knight,royal_ghost,skele_drag,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,undead_2
bandit,executioner,goblins,gold_knight,royal_ghost,skele_king,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,undead_2
bandit,executioner,goblins,gold_knight,royal_ghost,spear_gobs,witch,->,ace_2,assassin_4,blaster_2,goblin_2,undead_2
bandit,gob_machine,goblins,gold_knight,mega_knight,prince,royal_ghost,->,ace_2,assassin_4,brawler_2,goblin_2,noble_2
bandit,gob_machine,goblins,gold_knight,mega_knight,royal_ghost,skele_king,->,ace_2,assassin_4,brutalist_2,goblin_2,undead_2
bandit,gob_machine,goblins,gold_knight,monk,musketeer,royal_ghost,->,ace_2,assassin_4,goblin_2,noble_2,superstar_2
bandit,gob_machine,goblins,gold_knight,monk,royal_ghost,skele_king,->,ace_2,assassin_4,brutalist_2,goblin_2,undead_2
bandit,gob_machine,goblins,gold_knight,monk,royal_ghost,witch,->,ace_2,assassin_4,goblin_2,superstar_2,undead_2
bandit,gob_machine,goblins,gold_knight,musketeer,royal_ghost,skele_king,->,assassin_4,brutalist_2,goblin_2,noble_2,undead_2
bandit,gob_machine,goblins,gold_knight,musketeer,royal_ghost,witch,->,assassin_4,goblin_2,noble_2,superstar_2,undead_2
bandit,gob_machine,goblins,gold_knight,prince,royal_ghost,skele_king,->,assassin_4,brutalist_2,goblin_2,noble_2,undead_2
bandit,gob_machine,goblins,gold_knight,princess,royal_ghost,skele_king,->,assassin_4,brutalist_2,goblin_2,noble_2,undead_2
bandit,goblins,gold_knight,mega_knight,musketeer,royal_ghost,witch,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,mega_knight,prince,royal_ghost,skele_drag,->,ace_2,assassin_4,brawler_2,noble_2,undead_2
bandit,goblins,gold_knight,mega_knight,prince,royal_ghost,skele_king,->,ace_2,assassin_4,brawler_2,noble_2,undead_2
bandit,goblins,gold_knight,mega_knight,prince,royal_ghost,spear_gobs,->,ace_2,assassin_4,brawler_2,goblin_2,noble_2
bandit,goblins,gold_knight,mega_knight,prince,royal_ghost,witch,->,ace_2,assassin_4,brawler_2,noble_2,undead_2
bandit,goblins,gold_knight,mega_knight,princess,royal_ghost,spear_gobs,->,ace_2,assassin_4,blaster_2,goblin_2,noble_2
bandit,goblins,gold_knight,monk,musketeer,royal_ghost,skele_drag,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,monk,musketeer,royal_ghost,skele_king,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,monk,musketeer,royal_ghost,spear_gobs,->,ace_2,assassin_4,goblin_2,noble_2,superstar_2
bandit,goblins,gold_knight,monk,musketeer,royal_ghost,witch,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
bandit,goblins,gold_knight,monk,prince,royal_ghost,witch,->,ace_2,assassin_4,noble_2,superstar_2,undead_2
