troop1,troop2,troop3,troop4,troop5,troop6,troop7,->,trait1,trait2
bandit,dart_goblin,gob_machine,goblins,gold_knight,royal_ghost,spear_gobs,->,assassin_4,goblin_4
dart_goblin,executioner,gob_machine,goblins,princess,spear_gobs,wizard,->,blaster_4,goblin_4
archer_queen,dart_goblin,gob_machine,goblins,royal_giant,skele_drag,spear_gobs,->,goblin_4,ranger_4
dart_goblin,gob_machine,goblins,mini_pekka,skele_king,spear_gobs,valkyrie,->,brutalist_4,goblin_4
bandit,goblins,gold_knight,musketeer,prince,princess,royal_ghost,->,assassin_4,noble_4
bandit,executioner,goblins,gold_knight,mega_knight,monk,royal_ghost,->,ace_4,assassin_4
bandit,goblins,gold_knight,royal_ghost,skele_drag,skele_king,witch,->,assassin_4,undead_4
archer_queen,barbarians,executioner,princess,spear_gobs,valkyrie,wizard,->,blaster_4,clan_4
archer_queen,barbarians,dart_goblin,royal_giant,skele_drag,valkyrie,wizard,->,clan_4,ranger_4
archer_queen,barbarians,gob_machine,mini_pekka,skele_king,valkyrie,wizard,->,brutalist_4,clan_4
archer_queen,barbarians,mega_knight,pekka,prince,valkyrie,wizard,->,brawler_4,clan_4
elec_giant,gold_knight,monk,musketeer,prince,princess,witch,->,noble_4,superstar_4
executioner,gold_knight,musketeer,prince,princess,spear_gobs,wizard,->,blaster_4,noble_4
barbarians,gold_knight,mega_knight,musketeer,pekka,prince,princess,->,brawler_4,noble_4
bandit,elec_giant,executioner,mega_knight,monk,musketeer,witch,->,ace_4,superstar_4
elec_giant,monk,musketeer,royal_ghost,skele_drag,skele_king,witch,->,superstar_4,undead_4
bandit,executioner,mega_knight,monk,princess,spear_gobs,wizard,->,ace_4,blaster_4
bandit,barbarians,executioner,mega_knight,monk,pekka,prince,->,ace_4,brawler_4
archer_queen,dart_goblin,royal_ghost,royal_giant,skele_drag,skele_king,witch,->,ranger_4,undead_4
gob_machine,mini_pekka,royal_ghost,skele_drag,skele_king,valkyrie,witch,->,brutalist_4,undead_4
